,0
0,3.977003470354942e-09
1,5.46062250754044e-09
2,6.280591094152398e-09
3,6.65752857521695e-11
4,1.3802270519791473e-08
5,1.267283420473366e-08
6,1.7618887506052467e-08
7,3.709067386905222e-08
8,3.4580931433267816e-10
9,6.305704657029695e-08
10,1.0597043582937738e-07
