,0
0,0.8382155285019783
1,0.22085007467577328
2,0.10271886832150987
3,0.17566530447346562
4,0.14895588241952304
5,0.12215273879547896
6,0.10990426421433368
7,0.09964168334692833
8,0.09058999643739699
9,0.08308606700193714
10,0.07674804956365511
11,0.07129893061327693
12,0.06656791554697664
13,0.062423633168784715
14,0.05876358243289083
15,0.055507842680883365
16,0.05259313561663038
17,0.049968682993426286
18,0.047593280927366755
19,0.045433153011772795
20,0.043460353138233765
21,0.04165156247006168
22,0.03998717178498059
23,0.038450573382298854
24,0.037027608900298443
25,0.03570613449431396
26,0.03447567532348457
27,0.03332714868959257
28,0.03225264044762839
29,0.031245223117389007
30,0.030298806907087028
31,0.029408016912351162
32,0.028568091283235605
33,0.027774796301813967
34,0.02702435518519788
35,0.026313388095865448
36,0.025638861355233456
37,0.024998044255442452
38,0.02438847217621873
39,0.02380791495905596
40,0.02325434968520708
41,0.022725937158654865
42,0.02222100151909001
43,0.021738012509638104
44,0.021275570004759048
45,0.020832390469343133
46,0.020407295073614547
47,0.019999199232420273
48,0.019607103373710057
49,0.0192300847709859
50,0.01886729029939393
51,0.018517929995885307
52,0.01818127132123805
53,0.017856634036310323
54,0.017543385617177533
55,0.017240937144184024
56,0.01694873960873854
57,0.01666628058916294
58,0.016393081253281833
59,0.01612869365089473
60,0.01587269826394767
61,0.015624701786240348
62,0.015384335107967755
63,0.015151251483386745
64,0.014925124862487921
65,0.01470564836980082
66,0.014492532915414863
67,0.014285505925002353
68,0.014084310177117424
69,0.01388870273734697
70,0.013698453980031097
71,0.013513346689273687
72,0.013333175231846009
73,0.013157744795364771
74,0.012986870685813114
75,0.012820377679081112
76,0.012658099421741195
77,0.012499877876752075
78,0.012345562810209942
79,0.01219501131564411
80,0.012048087372691852
81,0.011904661437288393
82,0.011764610060777586
83,0.011627815535589916
84,0.011494165565350954
85,0.01136355295747742
86,0.01123587533649266
87,0.011111034876450546
88,0.010988938050998168
89,0.0108694953997357
90,0.010752621309646956
91,0.010638233810478742
92,0.010526254383041275
93,0.010416607779487873
94,0.010309221854709498
95,0.010204027408050464
96,0.01010095803461564
97,0.009999949985497913
98,0.009900942036307741
99,0.009803875363435188
100,0.00970869342751903
101,0.009615341863637872
102,0.009523768377775282
103,0.009433922649144642
104,0.00934575623799045
105,0.00925922249851117
106,0.009174276496574775
107,0.009090874931922012
108,0.009008976064574473
109,0.00892853964518463
110,0.008849526849083784
111,0.008771900213800745
112,0.008695623579840179
113,0.008620662034523765
114,0.0085469818587111
115,0.008474550476229437
116,0.008403336405852939
117,0.008333309215682805
118,0.008264439479789339
119,0.008196698736986177
120,0.008130059451615402
121,0.008064494976229986
122,0.007999979516067351
123,0.007936488095214531
124,0.007873996524371728
125,0.007812481370126828
126,0.007751919925658928
127,0.007692290182793907
128,0.007633570805339819
129,0.007575741103634227
130,0.007518781010239715
131,0.007462671056727583
132,0.007407392351493334
133,0.007352926558550812
134,0.007299255877255024
135,0.007246363022906527
136,0.007194231208192988
137,0.007142844125426062
138,0.0070921859295341155
139,0.007042241221773521
140,0.0069929950341233674
141,0.006944432814330348
142,0.0068965404115724676
143,0.006849304062711871
144,0.0068027103791087565
145,0.006756746333969848
146,0.006711399250206285
147,0.006666656788777185
148,0.006622506937496358
149,0.006578938000280841
150,0.006535938586821036
151,0.006493497602653302
152,0.0064516042396168165
153,0.006410247966677461
154,0.00636941852110238
155,0.006329105899969668
156,0.006289300351998437
157,0.006249992369685237
158,0.006211172681733529
159,0.006172832245763536
160,0.006134962241290425
161,0.006097554062959391
162,0.00606059931402672
163,0.006024089800076469
164,0.005988017522962892
165,0.005952374674969194
166,0.005917153633173674
167,0.005882346954014684
168,0.005847947368046305
169,0.0058139477748769455
170,0.005780341238283484
171,0.005747120981493876
172,0.005714280382631508
173,0.00568181297031484
174,0.005649712419406221
175,0.005617972546903988
176,0.005586587307972263
177,0.005555550792103088
178,0.005524857219405777
179,0.005494500937018588
180,0.005464476415638055
181,0.00543477824616148
182,0.0054054011364383205
183,0.005376339908126367
184,0.005347589493648789
185,0.0053191449332482986
186,0.005291001372134819
187,0.005263154057723239
188,0.005235598336957938
189,0.005208329653720897
190,0.0051813435463204105
191,0.00515463564505745
192,0.005128201669866913
193,0.005102037428031076
194,0.00507613881196269
195,0.005050501797055239
196,0.005025122439598049
197,0.0049999968747538905
198,0.004975121314596999
199,0.004950492046209345
200,0.004926105429833175
201,0.0049019578970778905
202,0.00487804594917941
203,0.004854366155310221
204,0.004830915150938426
205,0.004807689636234113
206,0.00478468637452148
207,0.004761902190775183
208,0.004739333970159444
209,0.004716978656608498
210,0.004694833251447031
211,0.0046728948120493006
212,0.004651160450535666
213,0.004629627332505337
214,0.004608292675804149
215,0.004587153749326259
216,0.00456620787184868
217,0.004545452410897573
218,0.0045248847816453585
219,0.004504502445837596
220,0.004484302910748758
221,0.004464283728165973
222,0.004444442493399862
223,0.004424776844321634
224,0.004405284460425648
225,0.004385963061916618
226,0.004366810408820767
227,0.0043478243001201285
228,0.004329002572909371
229,0.004310343101574407
230,0.004291843796992155
231,0.004273502605750825
232,0.004255317509390116
233,0.004237286523660717
234,0.004219407697802565
235,0.004201679113841297
236,0.004184098885902357
237,0.00416666515954226
238,0.004149376111096499
239,0.004132229947043618
240,0.004115224903384989
241,0.004098359245039849
242,0.004081631265255129
243,0.0040650392850297085
244,0.004048581652552625
245,0.004032256742654896
246,0.004016062956274545
247,0.003999998719934461
248,0.003984062485232743
249,0.003968252728345184
250,0.003952567949539542
251,0.003937006672701299
252,0.0039215674448705665
253,0.0039062488357898524
254,0.00389104943746238
255,0.003875967863720683
256,0.0038610027498051968
257,0.003846152751952561
258,0.0038314165469934052
259,0.0038167928319593324
260,0.003802280323698872
261,0.00378787775850216
262,0.003773583891734123
263,0.003759397497475927
264,0.0037453173681744906
265,0.003731342314299841
266,0.003717471164010115
267,0.0037037027628240003
268,0.0036900359733004367
269,0.003676469674725374
270,0.003663002762805419
271,0.003649634149368189
272,0.003636362762069208
273,0.0036231875441051675
274,0.0036101074539334
275,0.0035971214649974117
276,0.003584228565458313
277,0.003571427757932005
278,0.0035587180592319793
279,0.0035460985001175872
280,0.0035335681250476497
281,0.003521125991939269
282,0.003508771171931719
283,0.003496502749155291
284,0.0034843198205049704
285,0.0034722214954188277
286,0.003460206895661011
287,0.003448275155109228
288,0.0034364254195466135
289,0.0034246568464578616
290,0.0034129686048295547
291,0.00340135987495454
292,0.0033898298482403074
293,0.003378377727021241
294,0.0033670027243746657
295,0.0033557040639405943
296,0.003344480979745098
297,0.003333332716027206
298,0.003322258527069251
299,0.0033112576770305997
300,0.003300329439784654
301,0.0032894730987590914
302,0.003278687946779231
303,0.003267973285914483
304,0.003257328427327792
305,0.003246752691128013
306,0.0032362454062251607
307,0.003225805910188451
308,0.0032154335491070907
309,0.0032051276774537354
310,0.0031948876579505716
311,0.0031847128614379554
312,0.003174602666745551
313,0.0031645564605659203
314,0.0031545736373305017
315,0.0031446535990879293
316,0.003134795755384643
317,0.0031249995231477368
318,0.00311526432656999
319,0.0031055895969970553
320,0.003095974772816724
321,0.00308641929935026
322,0.0030769226287457236
323,0.0030674842198732725
324,0.003058103538222376
325,0.003048780055800907
326,0.003039513251036085
327,0.0030303026086772097
328,0.003021147619700161
329,0.0030120477812136293
330,0.0030030025963670272
331,0.002994011574260063
332,0.0029850742298539257
333,0.002976190083884069
334,0.0029673586627745317
335,0.0029585794985537927
336,0.0029498521287721086
337,0.0029411760964203086
338,0.0029325509498500245
339,0.0029239762426953144
340,0.0029154515337956603
341,0.0029069763871203097
342,0.0028985503716939267
343,0.0028901730615235434
344,0.0028818440355267627
345,0.0028735628774612066
346,0.0028653291758551753
347,0.002857142523939495
348,0.0028490025195805286
